Question,answer choice A,answer choice B,answer choice C,answer choice D,Correct Answer
"Delbert has chosen to purchase and expense used equipment he will place in service in his business. Under §179, he may elect to treat the permitted expensing amount as:",a deduction.,a 25% per year tax credit.,capitalized.,an amortization of the equipments cost.,
"In the final months of 2024, Jerry used his pick-up truck to make deliveries from the nursery he owns and operates. He kept a careful record of all his business miles. Given this, he should be able to claim a standard mileage rate of:",65.5 cents per mile.,67 cents per mile.,68.5 cents per mile.,70 cents per mile.,
"Assume you are a single taxpayer and anticipate earning $70,000 as an employee in 2025. The rate used to calculate your portion of OASDI will be:",6.2%.,4.2%.,10.4%.,12.4%.,
"Mike, a builder, has just completed a low-income housing project. Which of the following statements is correct regarding the Low-Income Housing Tax Credit (LIHTC) under §42 for this project?","The tax credit can be claimed annually for 10 years, based on a percentage of the qualified basis of the low-income building.",Mike can claim the entire tax credit amount in the first year after the building is placed in service.,Mike must wait 15 years before claiming any tax credits for the project.,The tax credit amount remains constant regardless of the qualified basis of the building.,
"Fred, a real estate investor, is considering exchanging one of his investment properties. Which of the following scenarios would qualify for a tax-deferred like-kind exchange under Section 1031?",Fred exchanges his vacant land for a commercial office building.,Fred exchanges his apartment building for a collection of rare coins.,Fred exchanges his rental property for shares in a real estate investment trust.,,
"Jim owns an auto dealership in California but, his daughter Jane lives in Paris with John, her French boyfriend. To avoid U.S. taxation, John cannot conduct any U.S. trade or business. As a result, under the TCJA, John should not:",marry Jane.,visit the United States for more than 30 days.,buy a vehicle from Jim.,buy a partnership interest in Jim's business.,
"You are reviewing the numerous detailed insurance changes made by the TCJA with your client, Dianne, who has just started a small life insurance company. The provision most likely to have an immediate impact on her young company is:",the change in the computation of reserves.,the repeal of the special deduction for small life insurance companies.,the special distribution rule for pre-1984 accounts.,the tax reporting of life settlement transactions.,
Mike is a client and a director of a large tax-exempt organization that has recently come under media attack for excessive compensation. You should alert Mike that under the TCJA an exempt organization can:,make tax-exempt qualified equity grants to employees.,use performance-based compensation.,be liable for a 21% excise tax on compensation over $1 million.,not use parachute payments.,
"Frank is the trustee of a large private college with a majority of U.S. tuition-paying students. Over the years, you have helped him navigate the complex tax rules surrounding such institutions. Because of the TCJA, you should schedule a meeting with Frank to discuss the TCJA's :",imposition of a 1.4% excise tax on net investment income.,repeal of the unrelated business income tax.,exemption of college and university investment income.,"provision of a $100,000 standard deduction.",
"Dr. Willis Johnson anticipates his compensation to be $320,000 in 2025. As a result, his maximum deductible contribution to a defined contribution retirement plan for 2025 should be:","$61,000.","$66,000.","$69,000.","$70,000.",
"Philip is married and filing jointly. As a result, Philip cannot contribute to a Roth IRA in 2025 if his modified AGI reaches:","$208,000.","$214,000.","$240,000.","$246,000.",
"After his father's recent death, Ross received a distribution from his inherited IRA. As a result, you should advise Ross that:","Non-spouse beneficiaries can only convert from either a traditional, SEP, or SIMPLE IRA into a Roth IRA.","When a participant dies, plan distributions transfer into a surviving spouses IRA tax-free but are taxed when transferred to a non-spouses IRA.","A 401(k) cannot offer a direct rollover of a distribution to a non-spouse beneficiary, which will not be included in the beneficiarys income in the year of the rollover.","Distributions to a non-spouse beneficiarys inherited IRA are considered eligible rollover distributions, and plans must allow the beneficiaries to make these direct rollovers.",
"Ralph and Jan, a married couple, have been considering a marital deduction trust for several years to save on estate taxes. However, they may wish to reconsider their plan in light of the:",elimination of marital deduction trusts.,suspension of the individual alternative minimum tax.,repeal of estate taxes.,recent increases in the applicable exclusion amount.,
"Your client, Ralph, is the trustee of an irrevocable trust, and pursuant to the trust terms, he has elected to retain $13,000 of net income in the trust for 2025. As a result, you warn Ralph that such income will be taxed at a rate of:",10%.,24%.,35%.,,
